variable,variable_label,month,month_label,n_obs,avg_move,median_move,volatility,positive_hit_rate,min_move,max_move
usd_mxn_mom_pct,USD/MXN MoM (%),8,Aug,10,0.5565760681492549,-0.02194234373633641,2.303426523813034,0.5,-2.089728135387947,5.7016550650971665
usd_mxn_mom_pct,USD/MXN MoM (%),9,Sep,10,0.4702032680163725,-0.03978718431899009,1.8798902369862027,0.5,-2.4439229696603726,3.994152711832877
usd_mxn_mom_pct,USD/MXN MoM (%),10,Oct,10,0.7882552205512351,0.09739418252467935,2.5351155711345377,0.5,-1.850301652479902,5.497120595178129
usd_mxn_mom_pct,USD/MXN MoM (%),11,Nov,10,0.7414866341153693,0.32392990127342314,3.6467463372762134,0.6,-3.9361061691782107,6.450150808148791
usd_mxn_mom_pct,USD/MXN MoM (%),12,Dec,10,-0.33998400788210037,-0.5990198885715781,1.4207615747180267,0.4,-2.305884746769915,2.0387657092221456
manganese_mom_pct,Manganese MoM (%),1,Jan,5,1.6954318142291047,-0.2115420965464243,3.099324017994653,0.4,-1.0691930247914816,5.591319999576894
manganese_mom_pct,Manganese MoM (%),2,Feb,5,2.4878803146303685,2.232512547943122,1.6827284415460404,1.0,0.05656007532053309,4.150893097027208
manganese_mom_pct,Manganese MoM (%),3,Mar,5,1.9616262926329298,0.8937383498411888,4.496449682830205,0.8,-3.363445985776281,9.024764295181932
manganese_mom_pct,Manganese MoM (%),4,Apr,5,0.8193138680837242,1.8776675806077003,3.60379197662529,0.6,-3.9491567849132214,4.380316691902664
manganese_mom_pct,Manganese MoM (%),5,May,5,2.995696499352019,-1.8282919838531364,12.94522942271645,0.2,-3.9870994172224394,26.056670769710234
manganese_mom_pct,Manganese MoM (%),6,Jun,5,-0.6612647270196104,-0.035383807675493095,2.106392079509226,0.4,-3.2406131461992227,2.1459046856415975
manganese_mom_pct,Manganese MoM (%),7,Jul,5,-3.5677997155790804,-0.8153555910332733,6.0950470091667075,0.4,-14.146322714304793,0.2690406768975473
manganese_mom_pct,Manganese MoM (%),8,Aug,5,-1.7641742031524419,-0.8177946127810087,3.235546916182508,0.4,-5.913774627749568,1.4471000499176379
manganese_mom_pct,Manganese MoM (%),9,Sep,5,-0.5901064414742874,0.6207204273950939,4.129333769519681,0.6,-6.050674633533104,4.795322986332073
manganese_mom_pct,Manganese MoM (%),10,Oct,5,-0.8086964113979956,-1.4515553856840557,2.1960980157834444,0.4,-3.510816649693971,2.3909604325387246
manganese_mom_pct,Manganese MoM (%),11,Nov,5,-0.9113644748566816,-0.2121120704797419,2.1275532812325135,0.4,-4.647308649047465,0.44114238141137463
manganese_mom_pct,Manganese MoM (%),12,Dec,5,-0.5640283736057317,-2.1226544156595195,2.646471974956592,0.4,-3.108833188637772,2.6450214757887336
sofr_change_bps,SOFR MoM (bps),1,Jan,8,-0.30573165869218943,-0.6382775119617229,14.115164319601286,0.375,-21.619047619047606,23.87857142857143
sofr_change_bps,SOFR MoM (bps),2,Feb,8,2.5225563909774342,0.6171052631578976,9.052600373239445,0.625,-6.817042606516305,23.339473684210535
sofr_change_bps,SOFR MoM (bps),3,Mar,8,-10.125207039337464,-0.6456937799042759,35.74818671656168,0.5,-97.62440191387559,11.183066361556063
sofr_change_bps,SOFR MoM (bps),4,Apr,8,-2.7957373671332384,1.286147186147224,23.622901642051637,0.625,-59.0021645021645,17.066361556064074
sofr_change_bps,SOFR MoM (bps),5,May,9,5.722489304068247,-0.22727272727271486,16.20379930570618,0.3333333333333333,-5.573593073593084,43.01904761904762
sofr_change_bps,SOFR MoM (bps),6,Jun,8,7.0806163135110465,2.582251082251048,13.066271175946591,0.875,-2.745454545454544,38.04761904761904
sofr_change_bps,SOFR MoM (bps),7,Jul,8,9.609372863978138,3.2336580086580424,16.86454791107316,1.0,1.791866028708136,51.033333333333346
sofr_change_bps,SOFR MoM (bps),8,Aug,8,6.779233719179372,0.1790890269151059,28.467700553605642,0.5,-32.136363636363626,67.6478260869565
sofr_change_bps,SOFR MoM (bps),9,Sep,8,2.4429937244296314,0.25652173913041226,12.387488330414183,0.5,-18.72272727272736,22.795031055900633
sofr_change_bps,SOFR MoM (bps),10,Oct,8,-0.7059125085440741,-0.10357142857142872,28.892014029707923,0.5,-40.74090909090906,52.507142857142824
sofr_change_bps,SOFR MoM (bps),11,Nov,8,0.12927821447557664,0.133646616541354,30.448779099196855,0.5,-29.14593301435408,68.55
sofr_change_bps,SOFR MoM (bps),12,Dec,8,2.121213070555185,-0.22488038277511943,15.880476162912737,0.375,-17.77777777777774,34.37142857142861
tiie_28d_change_bps,TIIE 28D MoM (bps),1,Jan,9,3.3665255298230714,-0.33389952153087266,16.973292050298284,0.4444444444444444,-19.684235294117475,26.102091097308517
tiie_28d_change_bps,TIIE 28D MoM (bps),2,Feb,9,1.5314157267549435,-0.5443636363636206,23.059680014182803,0.3333333333333333,-38.14826388888887,34.29449760765535
tiie_28d_change_bps,TIIE 28D MoM (bps),3,Mar,9,-1.3898433391609246,-5.103958333333297,18.66673684965237,0.3333333333333333,-30.693032581453615,30.78157894736838
tiie_28d_change_bps,TIIE 28D MoM (bps),4,Apr,9,-9.802328430752096,-2.061500000000022,29.482572942526403,0.4444444444444444,-55.83330952380949,37.66599999999995
tiie_28d_change_bps,TIIE 28D MoM (bps),5,May,9,-5.926823441302779,0.07035714285716366,22.502336139164036,0.5555555555555556,-53.3236578947368,30.180818181818196
tiie_28d_change_bps,TIIE 28D MoM (bps),6,Jun,8,-1.909072556893591,0.2351764069263157,24.248508111704602,0.5,-35.33547846889959,42.29727272727274
tiie_28d_change_bps,TIIE 28D MoM (bps),7,Jul,8,0.45257429980001973,0.040188358742671015,33.682660494305836,0.625,-47.72439628482977,58.1416233766234
tiie_28d_change_bps,TIIE 28D MoM (bps),8,Aug,8,-1.3837068198534972,-5.735847449651748,24.178834454477553,0.375,-28.028778467908964,49.06080745341615
tiie_28d_change_bps,TIIE 28D MoM (bps),9,Sep,8,-1.4912911812451575,-2.770112729874527,19.824501871902555,0.5,-23.73428571428568,39.48300207039346
tiie_28d_change_bps,TIIE 28D MoM (bps),10,Oct,9,1.2536595830836927,0.03476190476192631,27.78617459944415,0.5555555555555556,-21.475499999999982,64.03476190476182
tiie_28d_change_bps,TIIE 28D MoM (bps),11,Nov,9,2.6934256256674893,0.15340909090902355,20.378015526538665,0.5555555555555556,-20.300555555555626,46.83971428571437
tiie_28d_change_bps,TIIE 28D MoM (bps),12,Dec,9,7.04039134576116,-0.10123684210536221,24.100499740994522,0.4444444444444444,-20.734124999999963,51.422666666666586
