period_end,net_sales,cost_of_sales,gross_profit,operating_income,financial_expenses,financial_income,net_income,cash,inventories,current_assets,total_assets,current_liabilities,equity,financial_debt_approx,gross_margin,operating_margin,net_margin,cost_of_sales_to_sales,financial_expense_to_sales,financial_expense_to_gross_profit,current_ratio,cash_to_current_liabilities,inventory_to_current_assets,financial_debt_to_assets,financial_debt_to_equity,operating_income_to_financial_expense
2018-09-30,116074000.0,-88181000.0,27893000.0,19301000.0,15371000.0,70000.0,1888000.0,52915000.0,124406000.0,277292000.0,840876000.0,222379000.0,381868000.0,164524000.0,0.24030359942795113,0.16628185467891174,0.016265485810775884,0.7596964005720489,0.132424143218981,0.551070160972287,1.2469342878599148,0.2379496265384771,0.44864619246137644,0.1956578615634172,0.4308399761174018,1.2556762735020492
2018-12-31,106939000.0,-92539000.0,14400000.0,-1200000.0,1150000.0,758000.0,3499000.0,50454000.0,119066000.0,267341000.0,850870000.0,223757000.0,384027000.0,180760000.0,0.134656205874377,-0.011221350489531415,0.032719587802392015,0.865343794125623,0.010753794219134272,0.0798611111111111,1.1947827330541614,0.22548568312946635,0.4453712674075432,0.21244138352509784,0.4706960708491851,-1.0434782608695652
2019-03-31,116319000.0,-93622000.0,22697000.0,11584000.0,8058000.0,1076000.0,3813000.0,58642000.0,97428000.0,258702000.0,852102000.0,220753000.0,387304000.0,188677000.0,0.1951271933218133,0.09958820141163524,0.03278054316147835,0.8048728066781867,0.06927501096123591,0.35502489315768604,1.1719070635506652,0.2656453139934678,0.3766031959551917,0.22142536926330417,0.48715479313407556,1.437577562670638
2019-06-30,98005000.0,-78493000.0,19512000.0,4966000.0,6502000.0,1168000.0,-2368000.0,48961000.0,108744000.0,251975000.0,846056000.0,230192000.0,378858000.0,196155000.0,0.19909188306719044,0.05067088413856436,-0.024162032549359728,0.8009081169328095,0.06634355390031121,0.33323083230832307,1.094629700423994,0.21269635782303467,0.43156662367298343,0.23184635532399747,0.5177533534992003,0.763764995386035
2019-09-30,114768000.0,-88621000.0,26147000.0,10796000.0,2400000.0,695000.0,6427000.0,50345000.0,114349000.0,265756000.0,859086000.0,246549000.0,384090000.0,191459000.0,0.2278248292206887,0.09406803290115712,0.05599993029415865,0.7721751707793113,0.020911752404851526,0.09178873293303247,1.0779033782331302,0.20419875967860343,0.4302781498818465,0.22286360154862261,0.49847431591554064,4.498333333333333
2019-12-31,91036000.0,-81168000.0,9868000.0,-4554000.0,17094000.0,1259000.0,-20067000.0,47880000.0,113271000.0,265686000.0,865434000.0,264186000.0,360674000.0,196645000.0,0.1083966782371809,-0.0500241662638956,-0.22042928072410914,0.8916033217628191,0.1877718704688255,1.7322659100121605,1.0056778179010242,0.18123594740069496,0.42633409362932184,0.22722125546257715,0.5452153468228927,-0.26640926640926643
2020-03-31,100221000.0,-84358000.0,15863000.0,2880000.0,5934000.0,31959000.0,22077000.0,54291000.0,97414000.0,240481000.0,860087000.0,226090000.0,382526000.0,188430000.0,0.1582802007563285,0.028736492351902294,0.22028317418505103,0.8417197992436715,0.05920914778339869,0.37407804324528776,1.0636516431509575,0.24013003671104427,0.4050798191956953,0.21908248816689474,0.49259396746887796,0.48533872598584427
2020-06-30,84218000.0,-62870000.0,21348000.0,8206000.0,5105000.0,-5912000.0,-7123000.0,62608000.0,92968000.0,236818000.0,845976000.0,215081000.0,375060000.0,194133000.0,0.25348500320596545,0.09743760241278586,-0.08457811869196609,0.7465149967940345,0.06061649528604336,0.2391324714258947,1.1010642502127106,0.2910903334092737,0.39257151061152445,0.2294781412238645,0.5176051831706927,1.6074436826640548
2020-09-30,79349000.0,-63453000.0,15896000.0,4434000.0,4286000.0,-6340000.0,-10806000.0,57856000.0,85939000.0,223469000.0,833628000.0,216603000.0,363534000.0,197454000.0,0.2003301868958651,0.055879721231521504,-0.13618319071443874,0.7996698131041349,0.054014543346481994,0.26962757926522396,1.0316985452648393,0.26710618043148066,0.38456788189860786,0.2368610459341577,0.5431513971182887,1.0345310312645823
2020-12-31,82452000.0,-73203000.0,9249000.0,-5395000.0,8408000.0,-16719000.0,-19435000.0,53040000.0,91477000.0,225605000.0,832231000.0,243549000.0,345503000.0,209881000.0,0.11217435598893902,-0.06543200892640566,-0.23571289962644934,0.887825644011061,0.10197448212293213,0.9090712509460482,0.9263228344193571,0.21777958439574788,0.4054741694554642,0.252190797987578,0.6074650581905222,-0.6416508087535681
2021-03-31,91802000.0,-78226000.0,13576000.0,815000.0,4335000.0,3583000.0,-2527000.0,54412000.0,82142000.0,222095000.0,819302000.0,244165000.0,342930000.0,198911000.0,0.14788348837715953,0.008877802226531012,-0.027526633406679595,0.8521165116228404,0.04722119343805146,0.31931349440188567,0.909610304507198,0.22284930272561587,0.3698507395483914,0.2427810502110333,0.5800338261452774,0.18800461361014995
2021-06-30,98729000.0,-75661000.0,23068000.0,9140000.0,9242000.0,-2440000.0,-4224000.0,50815000.0,87863000.0,233583000.0,825397000.0,257152000.0,338111000.0,194632000.0,0.23364968752848708,0.09257664921147789,-0.04278378186753639,0.766350312471513,0.09360978030771101,0.4006415814114791,0.9083460365853658,0.19760686286709805,0.37615323032926196,0.23580410396451648,0.5756452762554309,0.9889634278294741
2021-09-30,124521000.0,-81936000.0,42585000.0,24443000.0,4958000.0,933000.0,12938000.0,50060000.0,89001000.0,246943000.0,830670000.0,179965000.0,350089000.0,207290000.0,0.3419905076252198,0.1962962070654749,0.10390215305048947,0.6580094923747801,0.039816577123537394,0.11642597158623928,1.3721723668491095,0.27816519878865337,0.36041110701659895,0.24954554757003383,0.592106578612867,4.930012101653893
2021-12-31,135305000.0,-119938000.0,15367000.0,-3300000.0,3543000.0,769000.0,-2580000.0,65924000.0,90548000.0,268381000.0,810546000.0,188057000.0,338543000.0,205255000.0,0.11357303869036621,-0.02438934259635638,-0.01906803148442408,0.8864269613096338,0.02618528509663353,0.23055899004359992,1.4271258182359603,0.3505532896940821,0.3373860295624504,0.2532305384271836,0.6062893044605855,-0.9314140558848434
2022-03-31,157004000.0,-101677000.0,55327000.0,38671000.0,10943000.0,359000.0,26408000.0,68954000.0,99133000.0,293201000.0,821823000.0,175194000.0,364690000.0,199556000.0,0.3523922957376882,0.24630582660314387,0.16819953631754606,0.6476077042623117,0.06969886117551145,0.1977876985920075,1.6735790038471636,0.39358653835177004,0.33810594097564467,0.2428211427521498,0.5471935068140065,3.5338572603490817
