model_name,sample_name,y_col,term,coef,p_value,std_err,t_stat,n_obs,r2,adj_r2,interpretation_unit,impact_per_1pct_driver,impact_per_100bps_driver
gross_margin ~ manganese_t,Full 2015-2025,gross_margin,ln_manganese,0.44356684715916295,0.02313345211072294,0.17770663756364086,2.4960623488265115,19,0.26819799748778883,0.2251508208694235,bps margin per +1% driver,44.136368847303146,
gross_margin ~ manganese_t_minus_1,Full 2015-2025,gross_margin,const,-0.5433169565294599,0.06776643918777099,0.27733271760682526,-1.9590799138950517,18,0.30360931282927084,0.2600848948811003,raw coefficient,,
gross_margin ~ manganese_t_minus_1,Full 2015-2025,gross_margin,ln_manganese_lag1,0.4783610423533457,0.017787753929324877,0.18111930587930664,2.6411377850140036,18,0.30360931282927084,0.2600848948811003,bps margin per +1% driver,47.59850638682144,
gross_margin ~ manganese_t_minus_2,Full 2015-2025,gross_margin,const,-0.2889257449567429,0.34638648898168733,0.2971989209328525,-0.9721628330609625,17,0.14209099513664247,0.08489706147908527,raw coefficient,,
gross_margin ~ manganese_t_minus_2,Full 2015-2025,gross_margin,ln_manganese_lag2,0.3046886121720816,0.13583455666574648,0.19330715464736645,1.5761890072196176,17,0.14209099513664247,0.08489706147908527,bps margin per +1% driver,30.317524983048305,
gross_margin ~ manganese_t + lag1,Full 2015-2025,gross_margin,const,-0.6427483844743679,0.051753238064501994,0.30415982963495636,-2.113192873778814,18,0.33464788151132796,0.24593426571283838,raw coefficient,,
gross_margin ~ manganese_t + lag1,Full 2015-2025,gross_margin,ln_manganese,0.21144981161999363,0.41599645551555564,0.2527764452184085,0.836509159060659,18,0.33464788151132796,0.24593426571283838,bps margin per +1% driver,21.039955844590033,
gross_margin ~ manganese_t + lag1,Full 2015-2025,gross_margin,ln_manganese_lag1,0.33331805004538195,0.2057233394970154,0.2519840112243334,1.3227746015545385,18,0.33464788151132796,0.24593426571283838,bps margin per +1% driver,33.1662487728439,
operating_margin ~ manganese_t,Full 2015-2025,operating_margin,const,-0.8932079305767773,0.010282688177111192,0.3095966909336855,-2.885069371649386,19,0.3433992786432636,0.30477570679874966,raw coefficient,,
operating_margin ~ manganese_t,Full 2015-2025,operating_margin,ln_manganese,0.6047382955879207,0.008373834250763894,0.2028121641780028,2.981765408593333,19,0.3433992786432636,0.30477570679874966,bps margin per +1% driver,60.17346120680772,
operating_margin ~ manganese_t_minus_1,Full 2015-2025,operating_margin,const,-0.9210229540683011,0.011105907904554695,0.32088835576905367,-2.870228655885444,18,0.3526851297875242,0.31222795039924445,raw coefficient,,
operating_margin ~ manganese_t_minus_1,Full 2015-2025,operating_margin,ln_manganese_lag1,0.6187473751615994,0.009360910135054279,0.20956444217316775,2.952539890571296,18,0.3526851297875242,0.31222795039924445,bps margin per +1% driver,61.56741097387235,
operating_margin ~ manganese_t_minus_2,Full 2015-2025,operating_margin,const,-0.6456587042138077,0.08675440255373422,0.352278488072384,-1.8328076396227229,17,0.19025773902149146,0.1362749216229242,raw coefficient,,
operating_margin ~ manganese_t_minus_2,Full 2015-2025,operating_margin,ln_manganese_lag2,0.4301601907666308,0.08005751553675217,0.22913256871526277,1.8773419823228183,17,0.19025773902149146,0.1362749216229242,bps margin per +1% driver,42.802362179898786,
operating_margin ~ manganese_t + lag1,Full 2015-2025,operating_margin,const,-1.0746610043467648,0.007154524151826797,0.34543830859452396,-3.1110070238567653,18,0.40413790869216326,0.3246896298511184,raw coefficient,,
operating_margin ~ manganese_t + lag1,Full 2015-2025,operating_margin,ln_manganese,0.3267250351372218,0.2729344275216175,0.2870815248469223,1.138091471791639,18,0.40413790869216326,0.3246896298511184,bps margin per +1% driver,32.51022197628327,
operating_margin ~ manganese_t + lag1,Full 2015-2025,operating_margin,ln_manganese_lag1,0.39463189170402846,0.18812474698652404,0.28618154716441685,1.3789564547895354,18,0.40413790869216326,0.3246896298511184,bps margin per +1% driver,39.26717887666684,
